"rep_cv","method","input_type","disease","auroc","partial_auroc_0.9","partial_auroc_0.95","auprc","top_20_hits","top_100_hits"
"Rep01","pr","drugs","chronic obstructive pulmonary disease",0.751803177200806,0.00786341012648135,0.00191098533081658,0.0216096961976151,0.333333333333333,1.66666666666667
"Rep01","pr","drugs","rheumatoid arthritis",0.7022465408081,0.016211332770002,0.00522502039099081,0.0191532759504867,0.666666666666667,4
"Rep01","pr","genetic","Alzheimers disease",0.705424806690913,0.0124807063049591,0.00431673431609007,0.0225549632944522,1.33333333333333,3.66666666666667
"Rep01","pr","genetic","asthma",0.785470597356366,0.0137643081973352,0.00350780037394702,0.0200660315971923,0.333333333333333,2.33333333333333
"Rep01","pr","genetic","chronic obstructive pulmonary disease",0.749615366922942,0.00789886574187083,0.00191208061155708,0.021184869868723,0.333333333333333,1.66666666666667
"Rep01","pr","genetic","rheumatoid arthritis",0.705923125991926,0.0166711280896239,0.00532839701292324,0.0196603412002921,0.666666666666667,4
"Rep01","genetic","drugs","Alzheimers disease",0.540881870219678,0.0116208017743191,0.00395827235308935,0.0376681402619903,1.33333333333333,3
"Rep01","genetic","drugs","asthma",0.54739892427651,0.013349235354597,0.00513985729870077,0.0180954855224895,1.33333333333333,2.66666666666667
"Rep01","genetic","drugs","chronic obstructive pulmonary disease",0.516200082788484,0.00799390109948287,0.00273578775845237,0.0222633037857215,1,3
"Rep01","genetic","drugs","rheumatoid arthritis",0.522465748618308,0.00908356213310236,0.00323436182460733,0.0174803228065667,1,2.66666666666667
"Rep01","genetic","genetic","Alzheimers disease",0.539177249068214,0.0113659996750565,0.00386903600978978,0.0323478872888642,1.33333333333333,2.33333333333333
"Rep01","genetic","genetic","asthma",0.54610241162502,0.013210175876991,0.00513297611564289,0.0193662079700283,1.66666666666667,2.66666666666667
"Rep01","genetic","genetic","chronic obstructive pulmonary disease",0.519432544136271,0.0085967047778054,0.00303829102390461,0.0223248722390143,1.33333333333333,2.66666666666667
"Rep01","genetic","genetic","rheumatoid arthritis",0.526237827110394,0.00968716929223667,0.00347613738090258,0.0157155868387363,0.666666666666667,2.66666666666667
"Rep02","raw","drugs","Alzheimers disease",0.928333309353179,0.0591620737874828,0.0233801421639142,0.233495907723817,8.33333333333333,15.6666666666667
"Rep02","raw","drugs","asthma",0.918301515975516,0.0600551396457458,0.0206138619832695,0.120906000894944,3.33333333333333,10.3333333333333
"Rep02","raw","drugs","chronic obstructive pulmonary disease",0.919229881362144,0.0643289684930259,0.0261735610456587,0.425825057053687,14.3333333333333,20
"Rep02","raw","drugs","rheumatoid arthritis",0.903640101120733,0.0516839074359451,0.0198822002921938,0.136276351814858,4.33333333333333,13
"Rep02","raw","genetic","Alzheimers disease",0.80754825371249,0.0223498157967684,0.00684958543688858,0.0338436774647074,0.333333333333333,4
"Rep02","raw","genetic","asthma",0.821623999107493,0.0136206635686879,0.00270683177897144,0.0232591722347674,0,1.66666666666667
"Rep02","raw","genetic","chronic obstructive pulmonary disease",0.571112677385999,0.00782384305975152,0.0025748759223958,0.0176893676403237,1.66666666666667,2
"Rep02","raw","genetic","rheumatoid arthritis",0.767188576533271,0.0140988707138257,0.00223353498221568,0.0207814210265749,0,0.333333333333333
"Rep02","gm","drugs","Alzheimers disease",0.54698831226166,0.0222099343155303,0.0106974577424614,0.1125063562134,6.66666666666667,7.33333333333333
"Rep02","gm","drugs","asthma",0.440332620618011,0.00435071177207291,0.00105694007980353,0.00846420987054099,0.333333333333333,0.666666666666667
"Rep02","gm","drugs","chronic obstructive pulmonary disease",0.658034137563627,0.0441362047392495,0.0216872738495969,0.35382275082252,14.3333333333333,17.3333333333333
"Rep02","gm","drugs","rheumatoid arthritis",0.467079659544697,0.00281026623632606,0.00119362955338251,0.0206677642145247,0.666666666666667,0.666666666666667
"Rep02","gm","genetic","Alzheimers disease",0.425520292404137,0.000800487330299346,0.000225774686621187,0.00693562057805072,0,0
"Rep02","gm","genetic","asthma",0.355800427680065,0,0,0.0048138278785898,0,0
"Rep02","gm","genetic","chronic obstructive pulmonary disease",0.238350152502213,0.00339500909442153,0.00112100407479769,0.00704619463653946,0.666666666666667,1
"Rep02","gm","genetic","rheumatoid arthritis",0.357633306235777,0.000748260543054388,0.000309664051826317,0.00575857837981378,0,0.333333333333333
"Rep02","mc","drugs","Alzheimers disease",0.912120047474406,0.0483689574352267,0.0139876935280632,0.0743935039979765,1,8.33333333333333
"Rep02","mc","drugs","asthma",0.906286459551687,0.0518016812252302,0.0139407256174193,0.0628902033429973,1.33333333333333,6.66666666666667
