disease.id	disease.efo_info.label	target.id	association_score.overall	association_score.datatypes.genetic_association	association_score.datatypes.somatic_mutation	association_score.datatypes.known_drug	association_score.datatypes.affected_pathway	association_score.datatypes.rna_expression	association_score.datatypes.literature	association_score.datatypes.animal_model	known_drug_binary
EFO_0000270	asthma	ENSG00000163006	0.046441780237281606	0.0	0.0	0.0	0.0	0.046441780237281606	0.0	0.0	0
EFO_0000270	asthma	ENSG00000153707	0.04641755166123737	0.03966755166123737	0.0	0.0	0.0	0.0	0.027	0.0	0
EFO_0000270	asthma	ENSG00000121552	0.04640000000000001	0.0	0.0	0.0	0.0	0.0	0.04640000000000001	0.0	0
EFO_0000270	asthma	ENSG00000164022	0.0464	0.0	0.0	0.0	0.0	0.0	0.0464	0.0	0
EFO_0000270	asthma	ENSG00000119714	0.04636111111111112	0.0	0.0	0.0	0.0	0.0	0.04636111111111112	0.0	0
EFO_0000270	asthma	ENSG00000170266	0.04631744545225497	0.0	0.0	0.0	0.0	0.0	0.04631744545225497	0.0	0
EFO_0000270	asthma	ENSG00000076706	0.04621277777777778	0.0	0.0	0.0	0.0	0.0	0.04621277777777778	0.0	0
EFO_0000270	asthma	ENSG00000174145	0.046208387868482505	0.0	0.0	0.0	0.0	0.046208387868482505	0.0	0.0	0
EFO_0000270	asthma	ENSG00000106546	0.04620598866213152	0.0	0.0	0.0	0.0	0.0	0.04620598866213152	0.0	0
EFO_0000270	asthma	ENSG00000253522	0.04619466759407996	0.0	0.0	0.0	0.0	0.04619466759407996	0.0	0.0	0
EFO_0000270	asthma	ENSG00000102755	0.046164222222222225	0.0	0.0	0.0	0.0	0.0	0.046164222222222225	0.0	0
EFO_0000270	asthma	ENSG00000153789	0.04611783231752701	0.0	0.0	0.0	0.0	0.04611783231752701	0.0	0.0	0
EFO_0000270	asthma	ENSG00000089041	0.04583093537414966	0.0	0.0	0.0	0.0	0.0	0.04583093537414966	0.0	0
EFO_0000270	asthma	ENSG00000146072	0.0458	0.0	0.0	0.0	0.0	0.0	0.0458	0.0	0
EFO_0000270	asthma	ENSG00000137877	0.045784974150802245	0.0	0.0	0.0	0.0	0.045784974150802245	0.0	0.0	0
EFO_0000270	asthma	ENSG00000181104	0.04578237723437704	0.0	0.0	0.0	0.0	0.022921953381952576	0.040051888888888894	0.0	0
EFO_0000270	asthma	ENSG00000184232	0.04548442550660773	0.0	0.0	0.0	0.0	0.04548442550660773	0.0	0.0	0
EFO_0000270	asthma	ENSG00000198003	0.04534591462562503	0.0	0.0	0.0	0.0	0.04534591462562503	0.0	0.0	0
EFO_0000270	asthma	ENSG00000160991	0.04528541559279749	0.0	0.0	0.0	0.0	0.04528541559279749	0.0	0.0	0
EFO_0000270	asthma	ENSG00000083223	0.04525614944625421	0.04125614944625421	0.0	0.0	0.0	0.0	0.016	0.0	0
EFO_0000270	asthma	ENSG00000167656	0.04522403927893678	0.0	0.0	0.0	0.0	0.04522403927893678	0.0	0.0	0
EFO_0000270	asthma	ENSG00000115271	0.045213248199410874	0.0	0.0	0.0	0.0	0.045213248199410874	0.0	0.0	0
EFO_0000270	asthma	ENSG00000064651	0.045200000000000004	0.0	0.0	0.0	0.0	0.0	0.045200000000000004	0.0	0
EFO_0000270	asthma	ENSG00000167578	0.045176634029331725	0.045176634029331725	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000116194	0.04511326338867268	0.0	0.0	0.0	0.0	0.04511326338867268	0.0	0.0	0
EFO_0000270	asthma	ENSG00000149798	0.044998222530038046	0.0	0.0	0.0	0.0	0.044998222530038046	0.0	0.0	0
EFO_0000270	asthma	ENSG00000171094	0.044931610996285315	0.0	0.0	0.0	0.0	0.0	0.044931610996285315	0.0	0
EFO_0000270	asthma	ENSG00000138768	0.044922222222222224	0.0	0.0	0.0	0.0	0.0	0.044922222222222224	0.0	0
EFO_0000270	asthma	ENSG00000129221	0.0449	0.0449	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000182263	0.0449	0.0449	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000255529	0.0449	0.0449	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000166573	0.0449	0.0449	0.0	0.0	0.0	0.0	0.0	0.0	0
