"cv_scheme","method","network","prob","SE","df","asymp.LCL","asymp.UCL"
"representative","mc","omnipath",0.834046763908485,0.00179408393091779,NA,0.830500520005935,0.837533328006346
"classic","z","omnipath",0.876872350038789,0.00159084392086621,NA,0.873720265866402,0.879956564701938
"block","z","omnipath",0.77479409249718,0.0020022626514813,NA,0.770845492673533,0.778694186980226
"representative","z","omnipath",0.831320514162431,0.00180532577580704,NA,0.827752500354378,0.834829366471216
"classic","knn","omnipath",0.875743103312281,0.00159693180195808,NA,0.872579198484204,0.878839355687272
"block","knn","omnipath",0.771188023931312,0.00201274779101537,NA,0.767219214190057,0.775109001934772
"representative","knn","omnipath",0.825638468862116,0.00182818474448145,NA,0.822026200970081,0.829192654276102
"classic","wsld","omnipath",0.874914900668079,0.00160136836412237,NA,0.871742381979553,0.878019926058432
"block","wsld","omnipath",0.77069687842879,0.00201415849729435,NA,0.766725350102575,0.774620666701032
"representative","wsld","omnipath",0.824675937297177,0.00183198216414476,NA,0.821056319418214,0.828237655316848
"classic","COSNet","omnipath",0.548306620411705,0.00231592337772281,NA,0.543763599032822,0.552841604863682
"block","COSNet","omnipath",0.400032299601304,0.00222017694328803,NA,0.395688824182947,0.404391548072575
"representative","COSNet","omnipath",0.601186718715569,0.00229685460014267,NA,0.596676530105566,0.605679802692676
"classic","bagsvm","omnipath",0.876809277898155,0.00159118513347183,NA,0.873656531183486,0.879894167228361
"block","bagsvm","omnipath",0.785023591779728,0.00197126998535239,NA,0.781134767654825,0.788861995509111
"representative","bagsvm","omnipath",0.830622893960899,0.00180817356486414,NA,0.827049366021147,0.834137392969376
"classic","rf","omnipath",0.850786788688668,0.00172091586087898,NA,0.847382325745341,0.854128381077011
"block","rf","omnipath",0.740553012613401,0.00209315123611534,NA,0.736429488372516,0.744634395172155
"representative","rf","omnipath",0.789588806666064,0.00195682472087288,NA,0.78572786110317,0.793398475204677
"classic","svm","omnipath",0.806702947451362,0.00189911104645038,NA,0.80295348597418,0.810397909994754
"block","svm","omnipath",0.68416600733121,0.00220490322741864,NA,0.679828645561814,0.688471536560534
"representative","svm","omnipath",0.719334510869723,0.00214038830233587,NA,0.715120372525933,0.723510412888571
