"STRING_id","n_disease"
"9606.ENSP00000370867",2
"9606.ENSP00000370912",2
"9606.ENSP00000371587",2
"9606.ENSP00000373640",2
"9606.ENSP00000373952",2
"9606.ENSP00000374069",2
"9606.ENSP00000374309",2
"9606.ENSP00000374332",2
"9606.ENSP00000375909",2
"9606.ENSP00000376127",2
"9606.ENSP00000376372",2
"9606.ENSP00000376822",2
"9606.ENSP00000376827",2
"9606.ENSP00000378786",2
"9606.ENSP00000379701",2
"9606.ENSP00000379802",2
"9606.ENSP00000379931",2
"9606.ENSP00000380227",2
"9606.ENSP00000381793",2
"9606.ENSP00000381949",2
"9606.ENSP00000383392",2
"9606.ENSP00000384018",2
"9606.ENSP00000384026",2
"9606.ENSP00000384193",2
"9606.ENSP00000384551",2
"9606.ENSP00000384582",2
"9606.ENSP00000384823",2
"9606.ENSP00000385551",2
"9606.ENSP00000385995",2
"9606.ENSP00000386138",2
"9606.ENSP00000386229",2
"9606.ENSP00000386306",2
"9606.ENSP00000387091",2
"9606.ENSP00000387170",2
"9606.ENSP00000395359",2
"9606.ENSP00000399518",2
"9606.ENSP00000402608",2
"9606.ENSP00000408979",2
"9606.ENSP00000417404",2
"9606.ENSP00000423067",2
"9606.ENSP00000423630",2
"9606.ENSP00000424038",2
"9606.ENSP00000433427",2
"9606.ENSP00000434939",2
"9606.ENSP00000437142",2
"9606.ENSP00000450337",2
"9606.ENSP00000451211",2
"9606.ENSP00000457230",2
"9606.ENSP00000000233",1
"9606.ENSP00000002596",1
"9606.ENSP00000005284",1
"9606.ENSP00000005587",1
"9606.ENSP00000009105",1
"9606.ENSP00000020926",1
"9606.ENSP00000037869",1
"9606.ENSP00000044462",1
"9606.ENSP00000046794",1
"9606.ENSP00000074304",1
"9606.ENSP00000080059",1
"9606.ENSP00000155926",1
"9606.ENSP00000159060",1
"9606.ENSP00000159111",1
"9606.ENSP00000160373",1
"9606.ENSP00000162749",1
"9606.ENSP00000168712",1
"9606.ENSP00000169298",1
"9606.ENSP00000172229",1
"9606.ENSP00000183605",1
"9606.ENSP00000192788",1
"9606.ENSP00000201031",1
"9606.ENSP00000202556",1
"9606.ENSP00000202677",1
"9606.ENSP00000205402",1
"9606.ENSP00000206249",1
"9606.ENSP00000207870",1
"9606.ENSP00000212355",1
"9606.ENSP00000215095",1
"9606.ENSP00000215832",1
"9606.ENSP00000215980",1
"9606.ENSP00000216237",1
"9606.ENSP00000216267",1
"9606.ENSP00000216554",1
"9606.ENSP00000216797",1
"9606.ENSP00000217244",1
"9606.ENSP00000217372",1
"9606.ENSP00000219473",1
"9606.ENSP00000219689",1
"9606.ENSP00000219782",1
"9606.ENSP00000219794",1
"9606.ENSP00000220166",1
"9606.ENSP00000220478",1
"9606.ENSP00000221204",1
"9606.ENSP00000221444",1
"9606.ENSP00000221980",1
"9606.ENSP00000222005",1
"9606.ENSP00000222120",1
"9606.ENSP00000222567",1
"9606.ENSP00000222598",1
"9606.ENSP00000222792",1
"9606.ENSP00000222823",1
"9606.ENSP00000223122",1
"9606.ENSP00000223795",1
"9606.ENSP00000225275",1
"9606.ENSP00000225577",1
"9606.ENSP00000225737",1
"9606.ENSP00000225823",1
"9606.ENSP00000226760",1
"9606.ENSP00000227495",1
"9606.ENSP00000227667",1
"9606.ENSP00000228434",1
"9606.ENSP00000228606",1
"9606.ENSP00000228872",1
"9606.ENSP00000229134",1
"9606.ENSP00000229135",1
"9606.ENSP00000229214",1
"9606.ENSP00000229335",1
"9606.ENSP00000230449",1
"9606.ENSP00000230568",1
"9606.ENSP00000230792",1
"9606.ENSP00000230895",1
"9606.ENSP00000231449",1
"9606.ENSP00000231498",1
"9606.ENSP00000231948",1
"9606.ENSP00000233146",1
"9606.ENSP00000233154",1
"9606.ENSP00000233156",1
"9606.ENSP00000233838",1
"9606.ENSP00000234961",1
"9606.ENSP00000235329",1
"9606.ENSP00000237449",1
"9606.ENSP00000237596",1
"9606.ENSP00000237612",1
"9606.ENSP00000237853",1
"9606.ENSP00000239461",1
"9606.ENSP00000239462",1
"9606.ENSP00000239849",1
"9606.ENSP00000239878",1
"9606.ENSP00000239882",1
"9606.ENSP00000241014",1
"9606.ENSP00000241416",1
"9606.ENSP00000241453",1
"9606.ENSP00000242067",1
"9606.ENSP00000242728",1
"9606.ENSP00000243052",1
"9606.ENSP00000243253",1
"9606.ENSP00000243344",1
"9606.ENSP00000243457",1
"9606.ENSP00000244050",1
"9606.ENSP00000244565",1
"9606.ENSP00000244625",1
"9606.ENSP00000244763",1
"9606.ENSP00000244769",1
"9606.ENSP00000245157",1
"9606.ENSP00000245312",1
"9606.ENSP00000245407",1
"9606.ENSP00000245414",1
"9606.ENSP00000245960",1
"9606.ENSP00000246062",1
"9606.ENSP00000246194",1
"9606.ENSP00000246949",1
"9606.ENSP00000247883",1
"9606.ENSP00000248070",1
"9606.ENSP00000248923",1
"9606.ENSP00000249075",1
"9606.ENSP00000250971",1
"9606.ENSP00000251337",1
"9606.ENSP00000252486",1
"9606.ENSP00000252506",1
"9606.ENSP00000252512",1
"9606.ENSP00000252575",1
"9606.ENSP00000252723",1
"9606.ENSP00000253188",1
"9606.ENSP00000253496",1
"9606.ENSP00000253861",1
"9606.ENSP00000254227",1
"9606.ENSP00000254908",1
"9606.ENSP00000255224",1
"9606.ENSP00000256001",1
"9606.ENSP00000256078",1
"9606.ENSP00000256646",1
"9606.ENSP00000256720",1
"9606.ENSP00000256958",1
"9606.ENSP00000256996",1
"9606.ENSP00000257068",1
"9606.ENSP00000257515",1
"9606.ENSP00000257570",1
"9606.ENSP00000257626",1
"9606.ENSP00000257776",1
"9606.ENSP00000258411",1
"9606.ENSP00000258443",1
"9606.ENSP00000258484",1
"9606.ENSP00000258499",1
"9606.ENSP00000258711",1
"9606.ENSP00000258796",1
"9606.ENSP00000258886",1
"9606.ENSP00000259206",1
"9606.ENSP00000259455",1
"9606.ENSP00000259526",1
"9606.ENSP00000259915",1
"9606.ENSP00000260197",1
"9606.ENSP00000260264",1
"9606.ENSP00000260282",1
"9606.ENSP00000260402",1
"9606.ENSP00000260408",1
"9606.ENSP00000260731",1
"9606.ENSP00000260746",1
"9606.ENSP00000260762",1
"9606.ENSP00000260818",1
"9606.ENSP00000260983",1
"9606.ENSP00000261183",1
"9606.ENSP00000261233",1
"9606.ENSP00000261247",1
"9606.ENSP00000261304",1
"9606.ENSP00000261368",1
"9606.ENSP00000261413",1
"9606.ENSP00000261438",1
"9606.ENSP00000261475",1
"9606.ENSP00000261483",1
"9606.ENSP00000261514",1
"9606.ENSP00000261517",1
"9606.ENSP00000261596",1
"9606.ENSP00000261609",1
"9606.ENSP00000261655",1
"9606.ENSP00000261749",1
"9606.ENSP00000261769",1
"9606.ENSP00000261884",1
"9606.ENSP00000262039",1
"9606.ENSP00000262102",1
"9606.ENSP00000262186",1
"9606.ENSP00000262262",1
"9606.ENSP00000262352",1
"9606.ENSP00000262406",1
"9606.ENSP00000262426",1
"9606.ENSP00000262429",1
"9606.ENSP00000262430",1
"9606.ENSP00000262464",1
"9606.ENSP00000262519",1
"9606.ENSP00000262644",1
"9606.ENSP00000262662",1
"9606.ENSP00000262809",1
"9606.ENSP00000262861",1
"9606.ENSP00000262903",1
"9606.ENSP00000262965",1
"9606.ENSP00000262982",1
"9606.ENSP00000262995",1
"9606.ENSP00000262999",1
"9606.ENSP00000263056",1
"9606.ENSP00000263088",1
"9606.ENSP00000263094",1
"9606.ENSP00000263168",1
"9606.ENSP00000263207",1
"9606.ENSP00000263243",1
"9606.ENSP00000263360",1
"9606.ENSP00000263388",1
"9606.ENSP00000263559",1
"9606.ENSP00000263663",1
"9606.ENSP00000263671",1
"9606.ENSP00000263754",1
"9606.ENSP00000263817",1
"9606.ENSP00000263915",1
"9606.ENSP00000263934",1
"9606.ENSP00000264018",1
"9606.ENSP00000264108",1
"9606.ENSP00000264122",1
"9606.ENSP00000264144",1
"9606.ENSP00000264202",1
"9606.ENSP00000264230",1
"9606.ENSP00000264245",1
"9606.ENSP00000264246",1
"9606.ENSP00000264260",1
"9606.ENSP00000264344",1
"9606.ENSP00000264380",1
"9606.ENSP00000264382",1
"9606.ENSP00000264448",1
"9606.ENSP00000264499",1
"9606.ENSP00000264634",1
"9606.ENSP00000264663",1
"9606.ENSP00000264664",1
"9606.ENSP00000264674",1
"9606.ENSP00000264708",1
"9606.ENSP00000264716",1
"9606.ENSP00000264731",1
"9606.ENSP00000264773",1
"9606.ENSP00000264790",1
"9606.ENSP00000264867",1
"9606.ENSP00000264870",1
"9606.ENSP00000264968",1
"9606.ENSP00000264972",1
"9606.ENSP00000264977",1
"9606.ENSP00000265016",1
"9606.ENSP00000265022",1
"9606.ENSP00000265023",1
"9606.ENSP00000265038",1
"9606.ENSP00000265077",1
"9606.ENSP00000265131",1
"9606.ENSP00000265165",1
"9606.ENSP00000265175",1
"9606.ENSP00000265441",1
"9606.ENSP00000265447",1
"9606.ENSP00000265537",1
"9606.ENSP00000265572",1
"9606.ENSP00000265594",1
"9606.ENSP00000265598",1
"9606.ENSP00000265602",1
"9606.ENSP00000265709",1
