"disease","uniprot.id"
"drug dependence","P11229"
"drug dependence","Q13936"
"drug dependence","P54284"
"drug dependence","O00555"
"drug dependence","Q00975"
"drug dependence","O95180"
"drug dependence","P07550"
"drug dependence","P48039"
"drug dependence","P30542"
"drug dependence","P18089"
"drug dependence","Q13698"
"drug dependence","P04150"
"drug dependence","P21554"
"drug dependence","O75762"
"drug dependence","Q7Z2W7"
"drug dependence","P35372"
"drug dependence","Q12879"
"drug dependence","Q8TCU5"
"drug dependence","P35354"
"drug dependence","Q05940"
"drug dependence","P35348"
"drug dependence","P35499"
"drug dependence","Q14524"
"drug dependence","P41145"
"drug dependence","P35462"
"drug dependence","P41146"
"drug dependence","P23415"
"drug dependence","P14867"
"drug dependence","P39086"
"drug dependence","Q13002"
"drug dependence","P42262"
"drug dependence","P35368"
"drug dependence","Q9Y5Y9"
"drug dependence","O15554"
"drug dependence","Q9UQD0"
"drug dependence","O14649"
"drug dependence","P42263"
"drug dependence","P34998"
"drug dependence","P08588"
"drug dependence","Q08289"
"drug dependence","Q9NPC2"
"drug dependence","P09917"
"drug dependence","Q9Y698"
"drug dependence","Q01959"
"drug dependence","P29274"
"drug dependence","P48167"
"drug dependence","Q02153"
"drug dependence","P13945"
"drug dependence","P21917"
"drug dependence","P28223"
"drug dependence","P28335"
"drug dependence","P23975"
"drug dependence","Q7L0J3"
"drug dependence","Q15878"
"drug dependence","P06401"
"drug dependence","P05091"
"drug dependence","Q9NY46"
"drug dependence","Q99250"
"drug dependence","P35498"
"drug dependence","P12821"
"drug dependence","P48169"
"drug dependence","Q02641"
